trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.8, 'e': 0.03762825680717621}",25,13,19.43480528910026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.03688316740124}",25,15,-36.530475709144625,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.8, 'e': 0.03615283175404641}",25,11,23.089582962952118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.03543695772159865}",20,14,10.743026611402778,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.03473525894473857}",30,7,34.43096174712763,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.03404745473459935}",20,9,20.797719830251086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.03337326996032609}",25,20,12.416576982359414,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.03271243493901982}",20,13,-2.2881078856117956,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.032064685327860776}",35,22,19.80863367244976,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.03142976201836772}",25,17,6.030440586601582,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.030807411032751083}",30,13,29.827100487426648,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.030197383422318508}",20,6,-19.70441536002481,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.8, 'e': 0.029599435167892006}",20,13,13.843003747816066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.02901332708219706}",20,3,23.928800117905276,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.02843882471418451}",20,11,14.94778666445661,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.027875698255247022}",20,14,11.706447556717896,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.027323722447292562}",25,5,31.145884163251942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.02678267649263818}",25,14,20.840048250043655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.026252343965687965}",30,15,20.24937449371137,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.025732512726359947}",20,14,11.069745861871171,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.025222974835227216}",25,20,11.184196377683065,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.02472352647033939}",25,17,14.796470875545106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8, 'e': 0.024233967845691116}",20,5,26.252590857202833,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.023754103131305}",25,7,31.329795281624314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.023283740374897003}",30,15,27.13248920175654,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.022822691425092974}",25,0,26.431250098492015,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.8, 'e': 0.022370771856165594}",20,0,26.04741904130135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.8, 'e': 0.021927800894261613}",35,20,8.662830793031599,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.8, 'e': 0.021493601345089926}",20,10,17.867658476067525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.8, 'e': 0.021067999523041437}",25,9,20.756389771891826,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.02065082518171257}",25,16,-5.212772272915872,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.020241911445804395}",20,0,-8.082436884073505,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
196,False,"{'a': 0.8, 'e': 0.01984109474437029}",20,0,31.569103546105648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.8, 'e': 0.019448214745385394}",30,12,27.746435848470057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8, 'e': 0.01906311429161164}",20,5,28.70807884529913,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.8, 'e': 0.018685639337732776}",20,6,21.12388771677887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8, 'e': 0.018315638888734186}",30,8,33.41266577636367,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.8, 'e': 0.017952964939502852}",30,19,22.304078556452346,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.8, 'e': 0.017597472415623396}",20,10,17.937924962618137,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8, 'e': 0.017249019115346268}",25,11,28.22660223472693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8, 'e': 0.016907465652705282}",30,13,32.90841937775917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.8, 'e': 0.016572675401761258}",30,24,11.800255478833584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.8, 'e': 0.016244514441949874}",25,14,22.095547788808997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.8, 'e': 0.0159228515045117}",20,13,8.98499831489574,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.8, 'e': 0.015607557919982834}",20,2,23.629212280020777,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.8, 'e': 0.015298507566725522}",25,15,10.769718817596237,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.8, 'e': 0.014995576820477707}",25,0,36.58293229149596,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.8, 'e': 0.014698644504901787}",30,18,21.050263704526863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.8, 'e': 0.014407591843112353}",25,17,-27.134268901147813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.8, 'e': 0.014122302410163965}",20,15,8.282339040098766,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8, 'e': 0.013842662086479504}",25,0,41.07372218011086,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.8, 'e': 0.013568559012200937}",30,7,37.552706461696,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8, 'e': 0.01329988354244377}",25,8,29.704134799816153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.8, 'e': 0.01303652820343774}",30,0,3.3649546183924137,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
218,False,"{'a': 0.8, 'e': 0.012778387649535764}",25,0,34.19505478129907,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
219,False,"{'a': 0.8, 'e': 0.012525358621074388}",20,6,25.3338475346956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.8, 'e': 0.01227733990306844}",25,12,23.03773925618337,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.8, 'e': 0.012034232284723778}",20,3,26.211629569814352,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
